,constructorId,constructorRef,name,nationality,url,color
0,1,mclaren,McLaren,British,http://en.wikipedia.org/wiki/McLaren,#FF8700
1,2,bmw_sauber,BMW Sauber,German,http://en.wikipedia.org/wiki/BMW_Sauber,#006EFF
2,3,williams,Williams,British,http://en.wikipedia.org/wiki/Williams_Grand_Prix_Engineering,#0082FA
3,4,renault,Renault,French,http://en.wikipedia.org/wiki/Renault_in_Formula_One,#FFF500
4,5,toro_rosso,Toro Rosso,Italian,http://en.wikipedia.org/wiki/Scuderia_Toro_Rosso,#469BFF
5,6,ferrari,Ferrari,Italian,http://en.wikipedia.org/wiki/Scuderia_Ferrari,#C00000
6,7,toyota,Toyota,Japanese,http://en.wikipedia.org/wiki/Toyota_Racing,red
7,8,super_aguri,Super Aguri,Japanese,http://en.wikipedia.org/wiki/Super_Aguri_F1,green
8,9,red_bull,Red Bull,Austrian,http://en.wikipedia.org/wiki/Red_Bull_Racing,#0600EF
9,10,force_india,Force India,Indian,http://en.wikipedia.org/wiki/Racing_Point_Force_India,bisque
10,11,honda,Honda,Japanese,http://en.wikipedia.org/wiki/Honda_Racing_F1,cornflowerblue
11,12,spyker,Spyker,Dutch,http://en.wikipedia.org/wiki/Spyker_F1,blue
12,13,mf1,MF1,Russian,http://en.wikipedia.org/wiki/Midland_F1_Racing,orange
13,14,spyker_mf1,Spyker MF1,Dutch,http://en.wikipedia.org/wiki/Midland_F1_Racing,white
14,15,sauber,Sauber,Swiss,http://en.wikipedia.org/wiki/Sauber,orange
15,16,bar,BAR,British,http://en.wikipedia.org/wiki/British_American_Racing,green
16,17,jordan,Jordan,Irish,http://en.wikipedia.org/wiki/Jordan_Grand_Prix,turquoise
17,18,minardi,Minardi,Italian,http://en.wikipedia.org/wiki/Minardi,white
18,19,jaguar,Jaguar,British,http://en.wikipedia.org/wiki/Jaguar_Racing,green
19,20,prost,Prost,French,http://en.wikipedia.org/wiki/Prost_Grand_Prix,bisque
20,21,arrows,Arrows,British,http://en.wikipedia.org/wiki/Arrows_Grand_Prix_International,bisque
21,22,benetton,Benetton,Italian,http://en.wikipedia.org/wiki/Benetton_Formula,green
22,23,brawn,Brawn,British,http://en.wikipedia.org/wiki/Brawn_GP,blue
23,24,stewart,Stewart,British,http://en.wikipedia.org/wiki/Stewart_Grand_Prix,orange
24,25,tyrrell,Tyrrell,British,http://en.wikipedia.org/wiki/Tyrrell_Racing,forestgreen
25,26,lola,Lola,British,http://en.wikipedia.org/wiki/MasterCard_Lola,blue
26,27,ligier,Ligier,French,http://en.wikipedia.org/wiki/Ligier,darkgreen
27,28,forti,Forti,Italian,http://en.wikipedia.org/wiki/Forti,red
28,29,footwork,Footwork,British,http://en.wikipedia.org/wiki/Footwork_Arrows,purple
29,30,pacific,Pacific,British,http://en.wikipedia.org/wiki/Pacific_Racing,bisque
30,31,simtek,Simtek,British,http://en.wikipedia.org/wiki/Simtek,pink
31,32,team_lotus,Team Lotus,British,http://en.wikipedia.org/wiki/Team_Lotus,turquoise
32,33,larrousse,Larrousse,French,http://en.wikipedia.org/wiki/Larrousse,orange
33,34,brabham,Brabham,British,http://en.wikipedia.org/wiki/Brabham,green
34,35,dallara,Dallara,Italian,http://en.wikipedia.org/wiki/Dallara,green
35,36,fondmetal,Fondmetal,Italian,http://en.wikipedia.org/wiki/Fondmetal,purple
36,37,march,March,British,http://en.wikipedia.org/wiki/March_Engineering,orange
37,38,moda,Andrea Moda,Italian,http://en.wikipedia.org/wiki/Andrea_Moda_Formula,silver
38,39,ags,AGS,French,http://en.wikipedia.org/wiki/Automobiles_Gonfaronnaises_Sportives,white
39,40,lambo,Lambo,Italian,http://en.wikipedia.org/wiki/Modena_(racing_team),purple
40,41,leyton,Leyton House,British,http://en.wikipedia.org/wiki/Leyton_House,green
41,42,coloni,Coloni,Italian,http://en.wikipedia.org/wiki/Enzo_Coloni_Racing_Car_Systems,orange
42,44,eurobrun,Euro Brun,Italian,http://en.wikipedia.org/wiki/Euro_Brun,fuschia
