,raceId,minOverallRaceLap,minOverallQualiLap
0,1,87.706,84.783
1,2,96.641,93.78399999999999
2,3,112.592,95.13
3,4,94.556,92.47399999999999
4,5,82.762,79.95400000000001
5,6,75.154,74.514
6,7,87.579,87.01599999999999
7,8,80.735,78.119
8,9,93.365,91.257
9,10,81.931,80.358
10,11,98.683,98.076
11,12,107.263,104.503
12,13,84.739,82.955
13,14,108.24,106.197
14,15,92.569,90.34100000000001
15,16,73.733,79.576
16,17,100.279,99.695
17,18,87.418,85.187
18,19,95.366,94.188
19,20,93.193,91.188
20,21,81.67,80.584
21,22,86.506,85.994
22,23,76.689,75.11
23,24,77.387,76.90899999999999
24,25,76.63,75.024
25,26,92.15,79.537
26,27,75.987,74.603
27,28,81.195,79.068
28,29,98.708,97.842
29,30,107.93,106.037
30,31,88.047,95.214
31,32,105.599,104.01400000000001
32,33,78.426,77.287
33,34,96.325,94.947
34,35,73.736,71.768
35,36,85.235,85.326
36,37,96.701,94.057
37,38,94.067,91.35900000000001
38,39,82.68,80.59700000000001
39,40,75.284,75.431
40,41,76.367,75.486
41,42,73.117,71.926
42,43,76.099,74.795
43,44,80.638,79.152
44,45,92.853,90.912
45,46,80.047,79.301
46,47,87.295,86.84100000000001
47,48,82.871,81.356
48,49,108.036,105.07
49,50,88.193,84.753
50,51,97.454,95.381
51,52,72.445,71.931
52,53,92.408,91.215
53,54,94.803,93.527
54,55,86.045,85.229
55,56,84.569,82.57900000000001
56,57,92.099,89.816
57,58,76.648,74.637
58,59,75.143,73.532
59,60,81.599,80.253
60,61,75.841,74.726
61,62,72.719,70.636
62,63,77.111,75.111
63,64,76.357,73.778
64,65,83.516,79.504
65,66,88.005,85.85
66,67,82.559,81.225
67,68,97.586,103.951
68,69,92.676,88.95400000000001
69,70,72.162,70.313
70,71,85.683,88.279
71,72,95.483,92.582
72,73,91.447,89.848
73,74,81.858,79.886
74,75,75.641,74.795
75,76,75.842,73.644
76,77,90.711,90.081
77,78,74.384,75.217
78,79,71.497,70.625
79,80,76.423,74.412
80,81,80.502,79.905
81,82,74.873,74.32
82,83,81.219,79.882
83,84,84.77,86.797
84,85,81.504,80.878
85,86,111.453,106.39099999999999
86,87,72.268,71.988
87,88,91.54,106.106
88,89,93.242,94.08
89,90,84.125,84.408
90,91,94.223,93.074
91,92,90.252,90.139
92,93,80.411,79.753
93,94,77.45,75.022
94,95,74.439,73.985
95,96,89.468,88.351
96,97,73.622,72.275
97,98,70.399,70.223
98,99,75.377,73.69800000000001
