CMDLINE /Library/Frameworks/Python.framework/Versions/3.8/bin/python3 tabs.py
MEM 0.781250 1608090320.7610
MEM 16.230469 1608090320.8614
MEM 28.976562 1608090320.9661
MEM 41.242188 1608090321.0667
MEM 45.445312 1608090321.1680
MEM 48.230469 1608090321.2690
MEM 51.863281 1608090321.3716
MEM 63.714844 1608090321.4720
MEM 72.089844 1608090321.5742
MEM 79.691406 1608090321.6794
MEM 81.902344 1608090321.7810
MEM 90.066406 1608090321.8815
MEM 96.484375 1608090321.9821
MEM 105.500000 1608090322.0828
MEM 154.414062 1608090322.1841
MEM 163.875000 1608090322.2876
MEM 174.363281 1608090322.3882
MEM 175.246094 1608090322.4934
MEM 177.093750 1608090322.5938
MEM 177.093750 1608090322.6984
MEM 176.878906 1608090322.7985
MEM 176.878906 1608090322.9024
MEM 176.878906 1608090323.0044
MEM 176.941406 1608090323.1077
MEM 176.941406 1608090323.2090
MEM 176.941406 1608090323.3097
MEM 176.941406 1608090323.4136
MEM 176.941406 1608090323.5145
MEM 176.941406 1608090323.6197
MEM 176.941406 1608090323.7204
MEM 176.941406 1608090323.8255
MEM 176.941406 1608090323.9306
MEM 176.941406 1608090324.0359
MEM 176.941406 1608090324.1413
MEM 176.941406 1608090324.2451
MEM 176.941406 1608090324.3505
MEM 176.941406 1608090324.4519
MEM 176.941406 1608090324.5573
MEM 176.941406 1608090324.6598
MEM 176.941406 1608090324.7601
MEM 176.941406 1608090324.8603
MEM 176.941406 1608090324.9646
MEM 176.941406 1608090325.0677
MEM 176.941406 1608090325.1701
MEM 176.941406 1608090325.2744
MEM 176.941406 1608090325.3764
MEM 176.941406 1608090325.4770
MEM 176.941406 1608090325.5812
MEM 176.941406 1608090325.6829
MEM 176.941406 1608090325.7861
MEM 176.941406 1608090325.8867
MEM 176.941406 1608090325.9890
MEM 176.941406 1608090326.0901
MEM 176.941406 1608090326.1911
MEM 176.941406 1608090326.2950
MEM 176.941406 1608090326.3994
MEM 176.941406 1608090326.5038
MEM 176.941406 1608090326.6078
MEM 176.941406 1608090326.7120
MEM 176.941406 1608090326.8170
MEM 176.941406 1608090326.9203
MEM 176.941406 1608090327.0245
MEM 176.941406 1608090327.1270
MEM 176.980469 1608090327.2272
MEM 176.980469 1608090327.3283
MEM 176.980469 1608090327.4335
MEM 176.980469 1608090327.5340
MEM 176.980469 1608090327.6377
MEM 176.980469 1608090327.7379
MEM 176.980469 1608090327.8402
MEM 176.980469 1608090327.9420
MEM 176.980469 1608090328.0432
MEM 176.980469 1608090328.1444
MEM 176.980469 1608090328.2490
MEM 176.980469 1608090328.3535
MEM 176.980469 1608090328.4581
MEM 176.980469 1608090328.5632
MEM 176.980469 1608090328.6684
MEM 176.980469 1608090328.7736
MEM 176.980469 1608090328.8790
MEM 176.980469 1608090328.9836
MEM 176.980469 1608090329.0857
MEM 176.980469 1608090329.1880
MEM 176.980469 1608090329.2914
MEM 176.980469 1608090329.3944
MEM 176.980469 1608090329.4954
MEM 176.980469 1608090329.6002
MEM 176.980469 1608090329.7056
MEM 176.980469 1608090329.8086
MEM 176.980469 1608090329.9095
MEM 176.980469 1608090330.0126
MEM 176.980469 1608090330.1169
MEM 176.980469 1608090330.2190
MEM 176.980469 1608090330.3243
MEM 176.980469 1608090330.4251
MEM 176.980469 1608090330.5305
MEM 176.980469 1608090330.6333
MEM 176.980469 1608090330.7386
MEM 176.980469 1608090330.8420
MEM 176.980469 1608090330.9441
MEM 176.980469 1608090331.0471
MEM 176.980469 1608090331.1525
MEM 176.980469 1608090331.2567
MEM 176.980469 1608090331.3621
MEM 176.980469 1608090331.4657
MEM 176.980469 1608090331.5701
MEM 176.980469 1608090331.6755
MEM 176.980469 1608090331.7773
MEM 176.980469 1608090331.8827
